DisplacementCategory,Original/Recap,Species,Sex,Date,Latitude,Longitude,TagNumber,DaysAtLiberty,TrackLength(m)
Long,Original,Tiger,Male,3/15/2015,25.793683,-80.084083,155,51,676936.0844
Long,E,Tiger,Male,NA,24.76385,-80.63672,155,,
Long,E,Tiger,Male,NA,24.38014,-82.30115,155,,
Long,Recap1,Tiger,Male,5/5/2015,27.05,-84.616,155,,
Long,Original,Tiger,Female,9/19/2014,25.672267,-80.085583,163,262,136714.7003
Long,E,Tiger,Female,NA,26.7971366,-80.0021548,163,,
Long,Recap1,Tiger,Female,6/8/2015,26.893,-80.055,163,,
Long,Original,Tiger,Female,10/18/2013,26.9066,-79.08275,246,NA,23071.27036
Long,Recap1,Tiger,Female,NA,27.06,-79.2399,246,,
Long,Original,Nurse,Female,9/2/2015,25.804783,-80.076183,460,721,176183.2295
Long,E,Nurse,Female,NA,26.96481,-80.01524,460,,
Long,Recap1,Nurse,Female,8/23/2017,27.3462308,-80.2354527,460,,
Long,Original,Lemon,Female,4/6/2009,25.401694,-80.228806,J10326,537,806138.1756
Long,E,Lemon,Female,NA,24.5611,-81.13199,J10326,,
Long,E,Lemon,Female,NA,26.86268,-82.55227,J10326,,
Long,Recap1,Lemon,Female,9/25/2010,29.871,-84.49,J10326,,
Long,Original,Tiger,Female,12/8/2015,25.65,-79.25,N373627,627,148580.7469
Long,Recap1,Tiger,Female,8/26/2017,26.8223982,-79.9725139,N373627,,
Long,Original,Lemon,Male,6/9/2017,25.77741,-80.08598,N381487,265,246188.5885
Long,E,Lemon,Male,NA,24.8630376,-80.5738928,N381487,,
Long,Recap1,Lemon,Male,3/1/2018,24.55,-81.85,N381487,,
Long,Original,Tiger,Female,7/27/2017,25.633333,-79.216667,N382523,84,88976.40137
Long,Recap1,Tiger,Female,10/19/2017,25.79835,-80.0845,N382523,,
Long,Original,Tiger,Female,11/3/2012,24.72615,-80.851317,RJD0087,7,0
Long,Recap1,Tiger,Female,11/10/2012,24.72615,-80.851317,RJD0087,,
Long,Original,Tiger,Female,12/9/2011,25.324195,-80.227903,RJD0252,905,371577.9064
Long,E,Tiger,Female,NA,26.53312,-79.85569,RJD0252,,
Long,Recap1,Tiger,Female,6/1/2014,28.594,-80.306,RJD0252,,
Long,Original,Tiger,Female,10/18/2013,26.911,-79.063,RJD1229,208,59.52697878
Long,Recap1,Tiger,Female,5/14/2014,26.9106,-79.0634,RJD1229,,
Long,Original,Nurse,Male,3/16/2014,25.625367,-80.174017,RJD1807,571,200355.624
Long,E,Nurse,Male,NA,27.04545,-79.96932,RJD1807,,
Long,Recap1,Nurse,Male,10/8/2015,27.340254,-80.231846,RJD1807,,
Medium,Original,Bull,Female,10/13/2013,25.67025,-80.167033,297,270,101476.6899
Medium,E,Bull,Female,NA,25.6517897,-80.1319015,297,,
Medium,Recap1,Bull,Female,7/10/2014,26.5282587,-80.0522643,297,,
Medium,Original,Blacktip,Female,2/28/2009,25.401694,-80.228806,J10129,414,0
Medium,Recap1,Blacktip,Female,4/18/2010,25.401694,-80.228806,J10129,,
Medium,Original,Lemon,Male,3/27/2009,25.401694,-80.228806,J10330,813,3272.748296
Medium,Recap1,Lemon,Male,6/18/2011,25.427,-80.212,J10330,,
Medium,Original,Blacknose,Female,3/27/2009,25.401694,-80.228806,J10353,24,0
Medium,Recap1,Blacknose,Female,4/20/2009,25.401694,-80.228806,J10353,,
Medium,Original,Lemon,Female,2/1/2009,25.401694,-80.228806,J10385,273,86600.85434
Medium,E,Lemon,Female,NA,25.2382325,-80.3901196,J10385,,
Medium,Recap1,Lemon,Female,11/1/2009,25.0578907,-80.975456,J10385,,
Medium,Original,Lemon,Male,4/19/2009,25.401694,-80.228806,J10422,12,89407.60649
Medium,E,Lemon,Male,NA,25.2546808,-80.3744937,J10422,,
Medium,Recap1,Lemon,Male,5/1/2009,25.0975649,-81.0216996,J10422,,
Medium,Original,Lemon,Female,11/6/2010,25.401694,-80.228806,J10743,188,3266.99634
Medium,Recap1,Lemon,Female,5/13/2011,25.427,-80.212111,J10743,,
Medium,Original,Blacktip,Male,7/14/2010,25.61258,-80.140983,J10749,190,116287.6053
Medium,E,Blacktip,Male,NA,25.2936219,-80.3575539,J10749,,
Medium,Recap1,Blacktip,Male,1/20/2011,24.838,-80.905,J10749,,
Medium,Original,Blacktip,Female,10/22/2010,25.401694,-80.228806,J10783,122,89426.71824
Medium,Recap1,Blacktip,Female,2/21/2011,24.908,-80.931,J10783,,
Medium,Original,Blacktip,Female,3/22/2008,25.0176603,-81.0608981,J4485,225,10847.29879
Medium,Recap1,Blacktip,Female,11/2/2008,24.9632165,-80.9715396,J4485,,
Medium,Original,Great Hammerhead,Female,1/19/2017,25.61965,-80.088733,N374833,80,99021.48404
Medium,Recap1,Great Hammerhead,Female,4/9/2017,26.5098419,-79.9969755,N374833,,
Medium,Original,Lemon,Male,2/25/2011,24.81295,-80.9096,R1434,0,40.80209821
Medium,Recap1,Lemon,Male,2/25/2011,24.813,-80.91,R1434,,
Medium,Original,Blacknose,Female,3/27/2010,25.401694,-80.228806,R1489,51,0.442907054
Medium,Recap1,Blacknose,Female,5/17/2010,25.40169,-80.228806,R1489,,
Medium,Original,Lemon,Female,4/6/2013,24.9694161,-81.0232073,RJD0028,886,17722.78881
Medium,Recap1,Lemon,Female,9/9/2015,25.12452,-81.06657,RJD0028,,
