Observation,Season,Region,Habitat,ManagementZone,Sample,Latitude,Longitude,Temperature,DissolvedOxygen,Salinity,MaximumDepth,Nurse,Blacknose,AtlanticSharpnose,Blacktip,Bull,GreatHammerhead,Lemon,Sandbar,Tiger,GreatWhite,Bonnethead,CaribbeanReef,Dusky,ScallopedHammerhead,Spinner
1,Dry,Keys,Bay,ENP,2009-1-30-1-25.01109,25.01109,-80.99305,21,7.76,32.51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dry,Keys,Bay,ENP,2009-1-30-2-25.01109,25.01109,-80.99305,21,7.76,32.51,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Dry,Keys,Bay,ENP,2009-1-30-3-25.01109,25.01109,-80.99305,21,7.76,32.51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dry,Keys,Bay,ENP,2009-1-30-4-25.01109,25.01109,-80.99305,21,7.76,32.51,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Dry,Keys,Bay,ENP,2009-1-30-6-25.01109,25.01109,-80.99305,21,7.76,32.51,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Dry,Keys,Bay,ENP,2009-11-6-1-25.00983,25.00983,-80.99305,26,7.58,36.24,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Dry,Keys,Bay,ENP,2009-11-6-2-25.00983,25.00983,-80.99305,25,5.11,38.26,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Dry,Keys,Bay,ENP,2009-11-6-3-25.00983,25.00983,-80.99305,26,4.95,37.84,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,Dry,Keys,Bay,ENP,2009-11-6-4-25.00983,25.00983,-80.99305,25,5.67,39.02,14,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
10,Dry,Keys,Bay,ENP,2009-11-7-1-25.01,25.01,-81.01,25,4.95,36.51,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Dry,Keys,Bay,ENP,2009-11-7-2-25.01,25.01,-81.01,25,5.1,36.33,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12,Dry,Keys,Bay,ENP,2009-11-7-3-25.01,25.01,-81.01,26,5,36.2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dry,Keys,Bay,ENP,2009-11-7-4-25.01,25.01,-81.01,26,4.99,36.18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dry,Keys,Bay,ENP,2009-12-6-1-25.00983,25.00983,-80.99305,23,6.29,33.15,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15,Dry,Keys,Bay,ENP,2009-12-6-2-25.00983,25.00983,-80.99305,23,5.76,33.75,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
16,Dry,Keys,Bay,ENP,2009-12-6-3-25.00983,25.00983,-80.99305,23,5.67,33.79,13,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
17,Dry,Keys,Bay,ENP,2009-12-6-4-25.00983,25.00983,-80.99305,23,5.13,33.89,13,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
18,Dry,Keys,Bay,ENP,2009-12-7-1a-25.01,25.01,-81.01,22,6,30.79,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
19,Dry,Keys,Bay,ENP,2009-12-7-1b-25.01,25.01,-81.01,23,5.62,34.11,12,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
20,Dry,Keys,Bay,ENP,2009-12-7-2a-25.01,25.01,-81.01,22,5.53,30.77,12,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
21,Dry,Keys,Bay,ENP,2009-12-7-2b-25.01,25.01,-81.01,24,6.14,33.94,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
22,Dry,Keys,Bay,ENP,2009-4-30-3-25.00983,25.00983,-80.99305,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Dry,Keys,Bay,ENP,2009-4-5-1a-25.01715,25.01715,-81.01056,27,1.46,36.85,12.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Dry,Keys,Bay,ENP,2009-4-5-2a-25.01715,25.01715,-81.01056,27,1.46,36.85,12.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Dry,Keys,Bay,ENP,2009-4-5-3a-25.01715,25.01715,-81.01056,27,1.46,36.85,12.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Dry,Keys,Bay,ENP,2009-4-5-5a-25.01715,25.01715,-81.01056,27,1.46,36.85,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Dry,Keys,Bay,ENP,2009-4-5-6a-25.01715,25.01715,-81.01056,27,1.46,36.85,12.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Dry,Keys,Bay,ENP,2009-4-6-1-25.10583,25.10583,-81.04276,27,8.97,37.89,11.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29,Dry,Keys,Bay,ENP,2009-4-6-2-25.10583,25.10583,-81.04276,27,8.97,37.89,11.5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
30,Dry,Keys,Bay,ENP,2009-4-6-3-25.10583,25.10583,-81.04276,27,8.97,37.89,11.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Dry,Keys,Bay,ENP,2009-4-6-4-25.10583,25.10583,-81.04276,27,8.97,37.89,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Dry,Keys,Bay,ENP,2009-4-6-5-25.10583,25.10583,-81.04276,27,8.97,37.89,11.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
33,Dry,Keys,Bay,ENP,2009-4-6-6-25.10583,25.10583,-81.04276,27,8.97,37.89,11.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Dry,Keys,Bay,ENP,2010-11-6-1-25.00983,25.00983,-80.99305,22,5.45,NA,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
35,Dry,Keys,Bay,ENP,2010-11-6-2-25.00983,25.00983,-80.99305,20,5.73,NA,14,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
36,Dry,Keys,Bay,ENP,2010-11-6-3-25.00983,25.00983,-80.99305,21,5.63,NA,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
37,Dry,Keys,Bay,ENP,2010-11-6-4-25.00983,25.00983,-80.99305,19,5.65,NA,14,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0
38,Dry,Keys,Bay,ENP,2010-11-6-5-25.00983,25.00983,-80.99305,22,6.15,NA,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
39,Dry,Keys,Bay,ENP,2010-11-6-6-25.00983,25.00983,-80.99305,22,6.16,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Dry,Keys,Bay,ENP,2010-12-4-1-25.00644,25.00644,-80.99969,20,7.08,NA,11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
41,Dry,Keys,Bay,ENP,2010-12-4-2-25.00644,25.00644,-80.99969,20,7.07,NA,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,Dry,Keys,Bay,ENP,2010-12-4-3-25.00644,25.00644,-80.99969,20,7.05,NA,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43,Dry,Keys,Bay,ENP,2010-12-4-4-25.00644,25.00644,-80.99969,20,7.23,NA,11,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
44,Dry,Keys,Bay,ENP,2010-12-4-5-25.00644,25.00644,-80.99969,21,9.45,NA,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,Dry,Keys,Bay,ENP,2010-12-4-6-25.00644,25.00644,-80.99969,21,9.45,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Dry,Keys,Bay,ENP,2010-2-5-1-25.01,25.01,-81.01,22,3.35,33.14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Dry,Keys,Bay,ENP,2010-2-5-2-25.01,25.01,-81.01,22,3.15,32.81,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
48,Dry,Keys,Bay,ENP,2010-2-5-3-25.01,25.01,-81.01,23,2.88,34.26,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,Dry,Keys,Bay,ENP,2010-2-5-4-25.01,25.01,-81.01,23,2.49,34.29,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,Dry,Keys,Bay,ENP,2010-2-6-1-25.00983,25.00983,-80.99305,22,3.4,34.68,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Dry,Keys,Bay,ENP,2010-2-6-2-25.00983,25.00983,-80.99305,22,3.15,34.53,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
52,Dry,Keys,Bay,ENP,2010-2-6-3-25.00983,25.00983,-80.99305,22,2.51,34.72,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
53,Dry,Keys,Bay,ENP,2010-2-6-4-25.00983,25.00983,-80.99305,22,2.14,34.8,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,Dry,Keys,Bay,ENP,2010-3-26-1-25.00983,25.00983,-80.99305,22,8.04,34.54,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
55,Dry,Keys,Bay,ENP,2010-3-26-2-25.00983,25.00983,-80.99305,22,7.64,34.51,15,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
56,Dry,Keys,Bay,ENP,2010-3-26-3-25.00983,25.00983,-80.99305,23,8.1,34.86,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Dry,Keys,Bay,ENP,2010-3-26-4-25.00983,25.00983,-80.99305,23,8.89,34.92,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Dry,Keys,Bay,ENP,2010-3-27-1-25.00983,25.00983,-80.99305,22,7.69,34.77,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Dry,Keys,Bay,ENP,2010-3-27-2-25.00983,25.00983,-80.99305,23,6.61,34.83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Dry,Keys,Bay,ENP,2010-3-27-3-25.00983,25.00983,-80.99305,22,7.82,34.86,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Dry,Keys,Bay,ENP,2010-3-27-4-25.00983,25.00983,-80.99305,23,7.47,34.94,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
62,Dry,Keys,Bay,ENP,2010-3-27-5-25.00983,25.00983,-80.99305,23,7.47,34.94,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Dry,Keys,Bay,ENP,2010-4-16-1-25.01,25.01,-81.01,23,8.09,39.28,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Dry,Keys,Bay,ENP,2010-4-16-2-25.01,25.01,-81.01,22,7.22,41.7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Dry,Keys,Bay,ENP,2010-4-16-3-25.01,25.01,-81.01,23,8.35,39.48,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,Dry,Keys,Bay,ENP,2010-4-16-4-25.01,25.01,-81.01,23,8.29,39.47,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Dry,Keys,Bay,ENP,2010-4-16-5-25.01,25.01,-81.01,23,8.21,39.26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Dry,Keys,Bay,ENP,2010-4-17-1-25.01,25.01,-81.01,23,8.21,40.3,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Dry,Keys,Bay,ENP,2010-4-17-2-25.01,25.01,-81.01,23,8.19,40.32,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Dry,Keys,Bay,ENP,2010-4-17-3-25.01,25.01,-81.01,23,8.25,40.06,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71,Dry,Keys,Bay,ENP,2010-4-17-4-25.01,25.01,-81.01,23,8.37,40.18,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Dry,Keys,Bay,ENP,2010-4-18-1-25.01,25.01,-81.01,23,7.72,39.08,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,Dry,Keys,Bay,ENP,2010-4-18-2-25.01,25.01,-81.01,23,7.66,39.11,15,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
74,Dry,Keys,Bay,ENP,2010-4-18-3-25.01,25.01,-81.01,23,8.11,39.13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Dry,Keys,Bay,ENP,2010-4-18-4-25.01,25.01,-81.01,24,8.07,39.39,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
76,Dry,Keys,Bay,ENP,2011-1-28-1-25.00644,25.00644,-80.99969,NA,NA,NA,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
77,Dry,Keys,Bay,ENP,2011-1-28-2-25.00644,25.00644,-80.99969,NA,NA,NA,12,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
78,Dry,Keys,Bay,ENP,2011-1-28-3-25.00644,25.00644,-80.99969,NA,NA,NA,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
79,Dry,Keys,Bay,ENP,2011-1-28-4-25.00644,25.00644,-80.99969,NA,NA,NA,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
80,Dry,Keys,Bay,ENP,2011-1-28-5-25.00644,25.00644,-80.99969,NA,NA,NA,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,Dry,Keys,Bay,ENP,2011-1-28-6-25.00644,25.00644,-80.99969,NA,NA,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Dry,Keys,Bay,ENP,2011-11-7-1-25.00644,25.00644,-80.99969,26,NA,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Dry,Keys,Bay,ENP,2011-11-7-2-25.00644,25.00644,-80.99969,26,NA,32,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,Dry,Keys,Bay,ENP,2011-11-7-3-25.00644,25.00644,-80.99969,27,NA,30,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
85,Dry,Keys,Bay,ENP,2011-11-7-4-25.00644,25.00644,-80.99969,26,NA,31,12,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
86,Dry,Keys,Bay,ENP,2011-12-4-1-25.00644,25.00644,-80.99969,26,NA,35,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,Dry,Keys,Bay,ENP,2011-12-4-10-25.00644,25.00644,-80.99969,24,NA,34,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,Dry,Keys,Bay,ENP,2011-12-4-2-25.00644,25.00644,-80.99969,25,NA,34,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,Dry,Keys,Bay,ENP,2011-12-4-3-25.00644,25.00644,-80.99969,26,NA,33,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,Dry,Keys,Bay,ENP,2011-12-4-4-25.00644,25.00644,-80.99969,25,NA,34,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91,Dry,Keys,Bay,ENP,2011-12-4-5-25.00644,25.00644,-80.99969,25,NA,34,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
