YEAR,TAXON,Date ,Latitude of Capture,Longitude of capture
1995,GALEOCERDO CUVIER,7/23/1995,30.0213,-88.4745
1995,GALEOCERDO CUVIER,7/23/1995,30.0213,-88.4745
1995,CARCHARHINUS LIMBATUS,7/23/1995,30.0213,-88.4745
1995,CARCHARHINUS ACRONOTUS,7/23/1995,29.7778,-88.4593
1995,CARCHARHINUS LIMBATUS,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,OPHICHTHUS REX,7/23/1995,29.7778,-88.4593
1995,OPHICHTHUS REX,7/23/1995,29.7778,-88.4593
1995,OPHICHTHUS REX,7/23/1995,29.7778,-88.4593
1995,OPHICHTHUS REX,7/23/1995,29.7778,-88.4593
1995,GALEOCERDO CUVIER,7/23/1995,29.7778,-88.4593
1995,GALEOCERDO CUVIER,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,RHIZOPRIONODON TERRAENOVAE,7/23/1995,29.7778,-88.4593
1995,CARCHARHINUS FALCIFORMIS,7/25/1995,26.2565,-96.5263
1995,OPHICHTHUS REX,7/25/1995,26.2565,-96.5263
1995,RHIZOPRIONODON TERRAENOVAE,7/26/1995,26.55,-97.05
1995,RHIZOPRIONODON TERRAENOVAE,7/26/1995,26.55,-97.05
1995,RHIZOPRIONODON TERRAENOVAE,7/26/1995,26.55,-97.05
1995,RHIZOPRIONODON TERRAENOVAE,7/26/1995,26.55,-97.05
1995,UNIDENTIFIED FISH,7/26/1995,26.65,-96.8667
1995,RHIZOPRIONODON TERRAENOVAE,7/26/1995,26.65,-96.8667
1995,CARCHARHINUS PLUMBEUS,7/26/1995,26.65,-96.8667
